Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.416,0.00786666666666667,0.416,0.00713333333333333,0.704,0.00766666666666667,,,,,,,,
,0.4192,0.00790666666666667,0.4192,0.00717333333333333,0.7072,0.00769333333333333,,,,,,,,
,0.4224,0.00794666666666667,0.4224,0.0072,0.7104,0.00770666666666667,,,,,,,,
,0.4256,0.00797333333333333,0.4256,0.00724,0.7136,0.00773333333333333,,,,,,,,
,0.4288,0.00801333333333333,0.4288,0.00726666666666667,0.7168,0.00774666666666667,,,,,,,,
,0.432,0.00805333333333333,0.432,0.00730666666666667,0.72,0.00777333333333333,,,,,,,,
,0.4352,0.00808,0.4352,0.00733333333333333,0.7232,0.00778666666666667,,,,,,,,
,0.4384,0.00812,0.4384,0.00736,0.7264,0.00781333333333333,,,,,,,,
,0.4416,0.00816,0.4416,0.0074,0.7296,0.00782666666666667,,,,,,,,
,0.4448,0.00818666666666667,0.4448,0.00742666666666667,0.7328,0.00785333333333333,,,,,,,,
,0.448,0.00822666666666667,0.448,0.00746666666666667,0.736,0.00786666666666667,,,,,,,,
,0.4512,0.00825333333333333,0.4512,0.00749333333333333,0.7392,0.00789333333333333,,,,,,,,
,0.4544,0.00829333333333333,0.4544,0.00752,0.7424,0.00790666666666667,,,,,,,,
,0.4576,0.00833333333333333,0.4576,0.00756,0.7456,0.00793333333333333,,,,,,,,
,0.4608,0.00836,0.4608,0.00758666666666667,0.7488,0.00794666666666667,,,,,,,,
,0.464,0.0084,0.464,0.00761333333333333,0.752,0.00797333333333333,,,,,,,,
,0.4672,0.00842666666666667,0.4672,0.00765333333333333,0.7552,0.00798666666666667,,,,,,,,
,0.4704,0.00846666666666667,0.4704,0.00768,0.7584,0.00801333333333333,,,,,,,,
,0.4736,0.00849333333333333,0.4736,0.00770666666666667,0.7616,0.00802666666666667,,,,,,,,
,0.4768,0.00853333333333333,0.4768,0.00774666666666667,0.7648,0.00805333333333333,,,,,,,,
,0.48,0.00856,0.48,0.00777333333333333,0.768,0.00806666666666667,,,,,,,,
,0.4832,0.0086,0.4832,0.0078,0.7744,0.00810666666666667,,,,,,,,
,0.4864,0.00862666666666667,0.4864,0.00782666666666667,0.7808,0.00814666666666667,,,,,,,,
,0.4896,0.00866666666666667,0.4896,0.00786666666666667,0.7872,0.00818666666666667,,,,,,,,
,0.4928,0.00869333333333333,0.4928,0.00789333333333333,0.7904,0.0082,,,,,,,,
,0.496,0.00873333333333333,0.496,0.00792,0.7936,0.00822666666666667,,,,,,,,
,0.4992,0.00876,0.4992,0.00794666666666667,0.7968,0.00824,,,,,,,,
