case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
cylinder_z,12.0,1.2,120.0,10752,-3.1614538918535307e-17,0.9999999999995691,0.4433476433816667,0.0,0.9999999999995691,0.4433476433816667,0.0,3.1614538918535307e-17,1.0311556346812937e-19,True
sphere,12.0,1.2,60.0,2936,1.7239421142375427e-05,0.9975537705831045,0.391581776694614,1.7239421142375427e-05,0.9975537705831045,0.391581776694614,0.0,0.0,0.0,True
sphere,12.0,1.2,90.0,2936,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,0.0,0.0,0.0,True
sphere,12.0,1.2,120.0,2936,1.0007348363067284e-05,0.996249234962725,0.29152461511305344,1.0007348363067284e-05,0.996249234962725,0.29152461511305344,0.0,0.0,0.0,True
plane,12.0,1.25,60.0,18432,2.0224797797474905e-15,1.0002024035643367,0.4725351632601582,2.0224797797474905e-15,1.0,0.47252881816477177,0.3854166666666667,0.00020240356433665063,6.345095386386483e-06,True
plane,12.0,1.25,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,12.0,1.25,120.0,18432,-0.00020577545689597597,0.9999999999995508,0.4424648367398731,0.0,0.9999999999995508,0.4424710040977657,0.390625,0.00020577545689597597,6.16735789259276e-06,True
cylinder_z,12.0,1.25,60.0,10752,1.8868564617487795e-15,1.000203748831558,0.47281657528688387,1.8868564617487795e-15,1.0,0.4728102736565184,0.3854166666666667,0.00020374883155804824,6.301630365506379e-06,True
cylinder_z,12.0,1.25,90.0,10752,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,0.0,0.0,0.0,True
cylinder_z,12.0,1.25,120.0,10752,-0.0002057490760213644,0.9999999999995618,0.44274623751414244,0.0,0.9999999999995618,0.44275237295093683,0.3872767857142857,0.0002057490760213644,6.135436794391186e-06,True
sphere,12.0,1.25,60.0,2936,1.7277187153945e-05,0.9976168093646836,0.39366534172604545,1.7277187153945e-05,0.9976168093646836,0.39366534172604545,0.0,0.0,0.0,True
sphere,12.0,1.25,90.0,2936,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,0.0,0.0,0.0,True
sphere,12.0,1.25,120.0,2936,-2.6284189946287548e-05,0.9962412875995864,0.2894410500816221,0.0,0.9962412875995864,0.2894411474507334,0.005449591280653951,2.6284189946287548e-05,9.736911142177212e-08,True
plane,12.0,1.5,60.0,18432,2.1827266702794544e-15,1.0079985348384934,0.4755421959121866,2.1827266702794544e-15,1.0,0.47526001255162753,0.4166666666666667,0.007998534838493443,0.00028218336055915147,True
plane,12.0,1.5,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,12.0,1.5,120.0,18432,-0.008362571581525965,0.9999999999995132,0.4394578040878446,0.0,0.9999999999995132,0.43973011156878744,0.4479166666666667,0.008362571581525965,0.000272307480942906,True
cylinder_z,12.0,1.5,60.0,10752,2.0310840719149184e-15,1.0081086317076795,0.4758236059169163,2.0310840719149184e-15,1.0,0.47554288926628796,0.4166666666666667,0.008108631707679503,0.0002807166506282965,True
cylinder_z,12.0,1.5,90.0,10752,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,1.1102230246251565e-15,0.9999999999997453,0.45778140640051324,0.0,0.0,0.0,True
cylinder_z,12.0,1.5,120.0,10752,-0.00835447058195353,0.9999999999995252,0.43973920688410995,0.0,0.9999999999995252,0.4400133653000343,0.4479166666666667,0.00835447058195353,0.0002741584159243097,True
sphere,12.0,1.5,60.0,2936,1.7464900717777843e-05,0.9979217477044197,0.4040894752335076,1.7464900717777843e-05,0.9979217477044197,0.4040894752335076,0.0,0.0,0.0,True
sphere,12.0,1.5,90.0,2936,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,1.5463218121791744e-05,0.9964559478540551,0.3415531959038337,0.0,0.0,0.0,True
sphere,12.0,1.5,120.0,2936,-0.008116942932687984,0.9962017525420792,0.27901691657415995,0.0,0.9962017525420792,0.27994668394067385,0.3419618528610354,0.008116942932687984,0.000929767366513963,True
plane,16.0,0.8,60.0,18432,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,0.0,0.0,0.0,True
plane,16.0,0.8,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,16.0,0.8,120.0,18432,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,5.205144674675305e-16,0.9999999999996184,0.4478774955135243,0.0,0.0,0.0,True
cylinder_z,16.0,0.8,60.0,13440,1.6272576856709068e-15,0.9999999999998619,0.46732445465582484,1.6272576856709068e-15,0.9999999999998619,0.46732445465582484,0.0,0.0,0.0,True
cylinder_z,16.0,0.8,90.0,13440,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,0.0,0.0,0.0,True
cylinder_z,16.0,0.8,120.0,13440,5.501233095920965e-16,0.9999999999996256,0.4480793950505284,5.501233095920965e-16,0.9999999999996256,0.4480793950505284,0.0,0.0,0.0,True
sphere,16.0,0.8,60.0,5144,1.1653538372843748e-06,0.9997860038167236,0.4074235166427939,1.1653538372843748e-06,0.9997860038167236,0.4074235166427939,0.0,0.0,0.0,True
